[0.072s] Invoking command in '/home/winicon/redEye/build/my_bot': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/winicon/redEye/build/my_bot -- -j4 -l4
[1.266s] Invoked command in '/home/winicon/redEye/build/my_bot' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/winicon/redEye/build/my_bot -- -j4 -l4
[1.405s] Invoking command in '/home/winicon/redEye/build/my_bot': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/winicon/redEye/build/my_bot
[1.429s] -- Install configuration: ""
[1.433s] -- Execute custom install script
[1.435s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/config/empty.yaml
[1.437s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/config/my_controllers.yaml
[1.438s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/config/rvis_config01.rviz
[1.439s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/config/rviz_config02.rviz
[1.441s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/description/camera.xacro
[1.443s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/description/gazebo_control.xacro
[1.443s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/description/inertial_macros.xacro
[1.444s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/description/lidar.xacro
[1.445s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/description/robot.urdf.xacro
[1.446s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/description/robot_core.xacro
[1.447s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/description/ros2_control.xacro
[1.448s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/launch/launch_sim.launch.py
[1.449s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/launch/rsp.launch.py
[1.450s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/worlds/cafe.world
[1.451s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/worlds/construction.world
[1.453s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/worlds/empty.world
[1.453s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/worlds/robotSpace.world
[1.454s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[1.456s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[1.457s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[1.458s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[1.460s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/environment/path.sh
[1.461s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/environment/path.dsv
[1.462s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/local_setup.bash
[1.464s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/local_setup.sh
[1.474s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/local_setup.zsh
[1.476s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/local_setup.dsv
[1.479s] -- Symlinking: /home/winicon/redEye/install/my_bot/share/my_bot/package.dsv
[1.505s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/ament_index/resource_index/packages/my_bot
[1.508s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[1.513s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[1.525s] -- Up-to-date symlink: /home/winicon/redEye/install/my_bot/share/my_bot/package.xml
[1.525s] Invoked command in '/home/winicon/redEye/build/my_bot' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/winicon/redEye/build/my_bot
